,key,color
0,MB_P_MY_17,#4040B8
1,MB_P_MY_7,#9C9CFE
2,MB_P_MY_6,#BABAFC
3,FT_2,#a19b27
4,CB_2,#CFB407
5,CBX_4,#D0C831
6,MNG_1,#022D36
7,CB_3,#72AAF4
8,CB_1,#D481A0
9,MB_P_MY_12,#A98EBE
10,MB_P_MY_3,#BA55D3
11,MB_P_MY_1,#CBA2C9
12,MB_P_MY_10,#FA86C4
13,MB_P_MY_19,#E7C27D
14,FT_1,#000080
15,MB_P_MY_5,#D3D3FC
16,VS_1,#29021A
17,MB_P_MY_2,#AD6BEB
18,MB_P_MY_8_2,#F25278
19,MB_P_MY_8_3,#63682B
20,Slideseq_special,#218256
21,FT_3,#945525
22,MB_P_MY_9,#6C6CFC
23,MB_P_MY_16,#82EEFD
24,MB_P_MY_4,#573974
25,MB_P_MY_11,#A50B5E
26,MB_P_MY_21_1,#03BE22
27,HY_3,#541E1B
28,MB_P_MY_18,#0C677E
29,HY_1,#F2688A
30,HY_2,#B57395
31,VS_2,#0000FF
32,HY_11,#900D09
33,CTX_A_1,#FFB6C1
34,TH_2_1,#FFA07A
35,MB_P_MY_8_1,#7A3F77
36,TH_4_1,#ED9EA9
37,MB_P_MY_20,#D6B85A
38,MB_P_MY_14,#311465
39,MB_P_MY_21_2,#7F6F6C
40,MB_P_MY_13,#D282A3
41,MB_P_MY_15,#7F52A9
42,CNU_11_2,#ff9933
43,CTX_A_8_3,#1DCFEA
44,CTX_A_3_2,#FD3DBB
45,CTX_A_5_5,#0C49D0
46,CTX_A_3_3,#746944
47,CTX_A_5_4,#24B469
48,CTX_B_8_3,#776350
49,CTX_A_9_2,#5512B0
50,CTX_A_2,#B2D3C2
51,CTX_A_3_1,#FFD700
52,CTX_A_7,#607D3B
53,TH_7,#faafd9
54,CTX_B_5_3,#1E8085
55,CTX_A_8_1,#ADFF2F
56,CTX_B_1_2,#3A86C0
57,CTX_A_14,#3DED97
58,CTX_A_9_1,#56E356
59,CTX_A_6,#DAC17C
60,CTX_B_6,#74B72E
61,CTX_B_2_1,#FEC5E5
62,CTX_A_5_3,#414D02
63,CTX_A_16_4,#396414
64,CTX_A_12,#2DB72D
65,CTX_B_7,#234F1E
66,CTX_A_13_3,#0a5df7
67,CTX_A_13_4,#D19091
68,CTX_B_5_2,#3666AF
69,CTX_A_11,#466D1D
70,CTX_A_16_1,#3371FD
71,CTX_A_15,#c0f0d7
72,CTX_A_13_2,#9842f5
73,CTX_A_16_3,#D8AC74
74,CTX_B_9,#8FBC8F
75,VS_3,#8B4513
76,CTX_B_5_4,#00ff00
77,CTX_B_8_1,#A78A73
78,CTX_A_13_1,#DAA520
79,CTX_HIP_3,#DDA0DD
80,CTX_A_10,#FDEFB2
81,CTX_HIP_4,#9400D3
82,CTX_B_10,#98BF64
83,CTX_HIP_1,#9E7BB3
84,CTX_A_5_1,#3AA3F5
85,CTX_HIP_2,#8B008B
86,CTX_B_11,#66CDAA
87,CTX_A_16_2,#798E46
88,CTX_B_3_2,#8C7424
89,CTX_HIP_7,#5F7B08
90,CTX_A_4,#FCAE1E
91,TH_6,#FF7F0E
92,CTX_A_5_2,#347D70
93,TH_5_2,#4F8F82
94,CTX_B_8_2,#710E32
95,TH_3,#FC4C4E
96,TH_2_2,#0E2AF9
97,CTX_HIP_5,#C71585
98,CTX_A_8_2,#70019C
99,HY_10,#C74E39
100,HY_9,#C3857B
101,CTX_B_12,#3A5311
102,CTX_HIP_6,#FF00FF
103,CNU_13_1,#696969
104,OB_2_2,#B8722E
105,OB_1,#FFC388
106,HY_8,#8C444F
107,TH_1,#C95B0C
108,HY_4,#CB6373
109,HY_6,#9A7B4F
110,CNU_10,#B0FC38
111,CNU_9_2,#9C4D00
112,CNU_13_2,#3704FC
113,CNU_4,#6495ED
114,CNU_2,#00BFFF
115,CNU_8_4,#7E23AD
116,CNU_7,#1F76B3
117,CNU_9_1,#8BE793
118,CNU_5,#52B2BF
119,HY_5,#800000
120,HY_7,#80471C
121,TH_9,#BE5504
122,CNU_1,#ADD8E6
123,CTX_B_1_1,#1ED1A0
124,TH_8,#FF4500
125,CNU_3,#87CEFA
126,CNU_8_3,#7197B2
127,TH_4_2,#1E95AE
128,CNU_11_1,#2929f0
129,HY_12,#FF0000
130,CNU_12,#028182
131,TH_5_1,#E6D490
132,CNU_8_1,#D706D0
133,CNU_8_2,#F53491
134,CTX_B_3_3,#EBC034
135,CNU_6_1,#1343AC
136,CNU_6_2,#11CDB3
137,OB_2_1,#C00416
138,OB_3,#DD571C
139,CTX_B_3_1,#BDB76B
140,CTX_B_5_1,#5FE0DD
141,CTX_B_4,#556B2F
142,OB_4_1,#FF8C00
143,OB_5,#FFEFD5
144,OB_4_2,#42455D
145,CTX_B_2_2,#F33C78
146,FT_4,#2F4F4F
