,key,color
0,Vascular and leptomeningeal cells,#1F77B4
1,Pericytes,#C49C94
2,Vascular endothelial cells,#8E6D61
3,Vascular smooth muscle cells,#8C564B
4,Olfactory ensheathing cells,#374A46
5,Oligodendrocyte precursor cells,#778A84
6,Astrocytes,#DBDB8D
7,Ependymal cells,#C5B0D5
8,Subcommissural organ hypendymal cells,#A54485
9,Oligodendrocytes,#9EDAE5
10,Microglia,#A2B1D8
11,Perivascular macrophages,#8599CB
12,Cholinergic and monoaminergic neurons,#DA7F8C
13,Peptidergic neurons,#D62728
14,Di- and mesencephalon inhibitory neurons,#E377C2
15,Di- and mesencephalon excitatory neurons,#FF9896
16,Non-glutamatergic neuroblasts,#BCBD22
17,Glutamatergic neuroblasts,#AEC7E8
18,Telencephalon inhibitory interneurons,#FF7F0E
19,Olfactory inhibitory neurons,#FFBB78
20,Telencephalon projecting excitatory neurons,#2CA02C
21,Telencephalon projecting inhibitory neurons,#17BECF
22,Dentate gyrus granule neurons,#98DF8A
23,Cerebellum neurons,#EDE659
24,Unannotated,#D9D9D9
25,,
26,Hindbrain neurons,#F7B6D2
27,Choroid epithelial cells,#9467BD
28,Hindbrain neurons/Spinal cord neurons,#F7B6D2
29,Choroid plexus epithelial cells,#9467BD
