,key,color
0,VLM_1,#1F76B3
1,VLM_2,#246693
2,PER_1,#D3A59C
3,PER_2,#C49C94
4,PER_3,#B2847B
5,PER_4,#9F6E64
6,VEN_1,#8E6D61
7,VEN_2,#795F55
8,VSM_1,#774D44
9,OEC,#31423E
10,OPC,#667872
11,AC_1,#A6A64D
12,AC_2,#EAEAA2
13,AC_3,#DADA8D
14,AC_4,#A4A46A
15,AC_5,#BCBC5E
16,AC_6,#6E6E47
17,EPEN_1,#C4B0D4
18,EPEN_2,#A98EBE
19,CHOR,#7F52A9
20,HYPEN,#8A4071
21,OLG_1,#A8E1EB
22,OLG_2,#61B2C1
23,OLG_3,#9ED9E4
24,MGL_1,#A2B1D8
25,MGL_2,#8597C6
26,MGL_3,#D1D9EC
27,PVM,#697FB7
28,CHO_1,#F7BAC3
29,CHO_2,#F4B0BA
30,CHO_3,#F0A7B1
31,CHO_4,#ED9EA9
32,SER_6,#E995A1
33,CHO_5,#E48D9A
34,CHO_6,#DF8692
35,DOP_1,#DA7F8C
36,MEGLU_6,#D1707E
37,SER_1,#C86371
38,SER_2,#BE5665
39,SER_3,#B34A59
40,SER_4,#9F4854
41,SER_5,#8C444F
42,DOP_2,#7A4048
43,HA_1,#683B42
44,INH_1,#FBB1B2
45,INH_2,#F9A5A6
46,INH_3,#F7999A
47,INH_4,#F68E8E
48,PEP_1,#F48283
49,PEP_2,#EF6C6D
50,PEP_3,#EC6162
51,PEP_4,#E95757
52,PEP_5,#E64C4D
53,PEP_6,#E24243
54,PEP_7,#DF3839
55,PEP_8,#DB2F30
56,PEP_9,#D62727
57,PEP_10,#F17778
58,PEP_11,#C9292A
59,PEP_12,#BC2A2B
60,PEP_13,#B02C2D
61,PEP_14,#A42D2E
62,PEP_15,#992E2E
63,PEP_16,#8E2E2F
64,PEP_17,#832E2F
65,PEP_18,#792E2F
66,PEP_19,#6F2E2E
67,PEP_20,#652D2D
68,PEP_21,#5B2C2C
69,PEP_22,#522A2A
70,PEP_23,#492829
71,PEP_24,#412626
72,TEINH_35,#883D71
73,DEINH_1,#F29ED8
74,INH_11,#EE90D1
75,INH_12,#E883C9
76,INH_5,#E377C1
77,INH_7,#D863B4
78,MEINH_1,#CC52A7
79,MEINH_2,#BE4298
80,MEINH_3,#A34085
81,DEGLU_1,#FED2D2
82,DEGLU_2,#FECBCA
83,DEGLU_3,#FFC4C3
84,DEGLU_4,#FFBCBB
85,DEGLU_5,#FFB5B4
86,DEGLU_6,#FFAEAC
87,GLU_3,#FFA6A5
88,HABCHO_1,#E44E4B
89,HABCHO_2,#D93F3C
90,HABCHO_3,#CC3330
91,HABGLU_1,#B03533
92,MEGLU_1,#FF9F9D
93,MEGLU_2,#FF9896
94,MEGLU_3,#FA8380
95,MEGLU_4,#F4706D
96,MEGLU_5,#ED5E5B
97,NGNBL_1,#DDDE29
98,NGNBL_2,#BCBD21
99,NGNBL_3,#9E9F26
100,NGNBL_4,#838429
101,GNBL_1,#B6CEEE
102,GNBL_2,#AEC7E8
103,GNBL_3,#8FAFD9
104,GNBL_4,#7398C9
105,GNBL_5,#5A82B6
106,GLU_1,#FCD1E3
107,GLU_2,#FBCADF
108,GLU_4,#F9C3DA
109,HBGLU_1,#F8BCD6
110,HBGLU_2,#F6B6D1
111,HBINH_1,#EF98BD
112,INH_9,#E47CA9
113,INH_10,#D76495
114,INH_6,#C74E82
115,INH_8,#AE4170
116,TEINH_1,#FFDCBD
117,TEINH_2,#FE9639
118,TEINH_3,#FE7F0E
119,TEINH_4,#FEAD65
120,TEINH_5,#9E5A1F
121,TEINH_6,#925621
122,TEINH_7,#875122
123,TEINH_8,#7C4D24
124,TEINH_9,#413122
125,TEINH_10,#FEA75A
126,TEINH_11,#FEA14F
127,TEINH_12,#FFD6B2
128,TEINH_13,#FE8A23
129,TEINH_14,#FE9C44
130,TEINH_15,#EE750A
131,TEINH_16,#714824
132,TEINH_17,#E0710E
133,TEINH_18,#FFD0A7
134,TEINH_19,#FFCA9C
135,TEINH_20,#664425
136,TEINH_21,#FFC491
137,TEINH_22,#FE902E
138,TEINH_23,#D26C12
139,TEINH_24,#533A24
140,TEINH_25,#C56816
141,TEINH_26,#FEBF86
142,TEINH_27,#FE8418
143,TEINH_28,#FEB97B
144,TEINH_29,#FEB370
145,TEINH_30,#B76319
146,TEINH_31,#533A24
147,TEINH_32,#AB5F1C
148,TEINH_33,#F97A09
149,TEINH_34,#4A3624
150,OBINH_1,#FFCC99
151,OBINH_2,#FFC388
152,OBINH_3,#B8722E
153,OBINH_4,#FFBB78
154,OBINH_5,#F6A85C
155,OBINH_6,#EA9644
156,OBINH_7,#DA8430
157,TEGLU_1,#2D6F2D
158,TEGLU_2,#274627
159,TEGLU_3,#2C6A2C
160,TEGLU_4,#2D752D
161,TEGLU_5,#2CAB2C
162,TEGLU_6,#7BEF7B
163,TEGLU_7,#2B5F2B
164,TEGLU_8,#71ED71
165,TEGLU_9,#2CA02C
166,TEGLU_10,#2C642C
167,TEGLU_11,#2B5A2B
168,TEGLU_12,#2C992C
169,TEGLU_13,#295029
170,TEGLU_14,#2C932C
171,TEGLU_15,#2D8D2D
172,TEGLU_16,#68EA68
173,TEGLU_17,#264126
174,TEGLU_18,#2D7B2D
175,TEGLU_19,#5FE75F
176,TEGLU_20,#2D872D
177,TEGLU_21,#56E356
178,TEGLU_22,#2D812D
179,TEGLU_23,#233823
180,TEGLU_24,#85F285
181,TEGLU_25,#2DB72D
182,TEGLU_26,#284B28
183,TEGLU_27,#4DE04D
184,TEGLU_28,#253D25
185,TEGLU_29,#B9FBB9
186,TEGLU_30,#223422
187,TEGLU_31,#44DC44
188,TEGLU_32,#3CD83C
189,TEGLU_33,#34D434
190,TEGLU_34,#202F20
191,TEGLU_35,#2A552A
192,TEGLU_36,#2DC32D
193,TEGLU_37,#AEF9AE
194,TEGLU_38,#2DCF2D
195,TEGLU_39,#A3F8A3
196,TEGLU_40,#99F699
197,TEGLU_41,#8FF48F
198,MSN_1,#7AECF8
199,MSN_2,#247C85
200,MSN_3,#17BDCE
201,MSN_4,#1BACBB
202,MSN_5,#29D9EB
203,MSN_6,#1F9BA8
204,MSN_7,#228B96
205,MSN_8,#17D2E6
206,MSN_9,#266D75
207,MSN_10,#65E8F5
208,MSN_11,#50E3F2
209,MSN_12,#266065
210,MSN_13,#265257
211,MSN_14,#3CDEEF
212,DGGRC,#79CC69
213,CBGRC_1,#FAF9D5
214,CBGRC_2,#F2ED83
215,CBINH_1,#D0C831
216,CBINH_2,#E0D843
217,CBPC,#77732D
218,NA_1,#D5D5D4
219,NA_2,#EEEEEE
220,NA_3,#FBFBFB
221,NA_4,#BABAB7
222,NA_5,#9E9E9A
223,NA_6,#898984
224,NA_7,#74746E
225,NA_8,#6C6C66
226,NA_9,#61615B
227,NA_10,#575751
228,NA_11,#44443F
229,NA_12,#3C3C3C
230,,#NAN
