index,main_STARmap,sub_STARmap
23583,Cholinergic and monoaminergic neurons,CHO_4
23590,Hindbrain neurons/Spinal cord neurons,INH_6
23591,Hindbrain neurons/Spinal cord neurons,HBGLU_1
23593,Hindbrain neurons/Spinal cord neurons,GLU_2
23601,Cerebellum neurons,CBPC
23623,Vascular endothelial cells,VEN_1
23637,Hindbrain neurons/Spinal cord neurons,GLU_4
23663,Hindbrain neurons/Spinal cord neurons,HBGLU_2
23913,Hindbrain neurons/Spinal cord neurons,INH_10
23918,Hindbrain neurons/Spinal cord neurons,HBINH_1
23932,Cerebellum neurons,CBINH_1
23934,Di- and mesencephalon inhibitory neurons,INH_5
23936,Di- and mesencephalon inhibitory neurons,INH_11
23937,Cerebellum neurons,CBINH_2
23949,Di- and mesencephalon inhibitory neurons,DEINH_1
23951,Hindbrain neurons/Spinal cord neurons,INH_8
23977,Astrocytes,AC_4
23982,Di- and mesencephalon inhibitory neurons,MEINH_1
24144,Vascular and leptomeningeal cells,VLM_1
24187,Vascular smooth muscle cells,VSM_1
24357,Di- and mesencephalon inhibitory neurons,INH_7
24438,Pericytes,PER_2
24565,Perivascular macrophages,PVM
25709,Microglia,MGL_1
25734,Vascular and leptomeningeal cells,VLM_2
25739,Cerebellum neurons,CBGRC_2
25751,Oligodendrocyte precursor cells,OPC
26690,Astrocytes,AC_5
26757,Cerebellum neurons,CBGRC_1
32594,Microglia,MGL_3
32645,Microglia,MGL_2
32718,Peptidergic neurons,PEP_14
32721,Astrocytes,AC_1
32818,Hindbrain neurons/Spinal cord neurons,INH_9
32908,Astrocytes,AC_3
32914,Pericytes,PER_1
32965,Oligodendrocytes,OLG_2
32973,Non-glutamatergic neuroblasts,NGNBL_1
32989,Cholinergic and monoaminergic neurons,SER_5
34064,Oligodendrocytes,OLG_3
34103,Oligodendrocytes,OLG_1
34289,Hindbrain neurons/Spinal cord neurons,GLU_1
34459,Di- and mesencephalon excitatory neurons,MEGLU_2
34682,Non-glutamatergic neuroblasts,NGNBL_3
34839,Cholinergic and monoaminergic neurons,DOP_2
35424,Cholinergic and monoaminergic neurons,CHO_5
35606,Cholinergic and monoaminergic neurons,CHO_2
35883,Pericytes,PER_4
36794,Cholinergic and monoaminergic neurons,CHO_3
37586,Ependymal cells,EPEN_2
37708,Cholinergic and monoaminergic neurons,SER_3
37898,Non-glutamatergic neuroblasts,NGNBL_2
38074,Pericytes,PER_3
38433,Astrocytes,AC_6
38820,Ependymal cells,EPEN_1
