index,tissue_main,tissue_sub
23583,LSX_HY_MB_HB,MB_P_MY_17
23590,LSX_HY_MB_HB,MB_P_MY_7
23591,FbTrt,FT_2
23593,LSX_HY_MB_HB,MB_P_MY_6
23596,LSX_HY_MB_HB,MB_P_MY_10
23601,CB_1,CB_2
23628,LSX_HY_MB_HB,MB_P_MY_8_2
23635,LSX_HY_MB_HB,MB_P_MY_8_3
23689,LSX_HY_MB_HB,MB_P_MY_5
23894,CB_1,CB_3
23983,CB_2,CBX_4
23991,CB_2,MNG_1
24310,CB_1,Slideseq_special
25780,CB_2,MB_P_MY_3
26256,CB_1,CB_1
26346,CB_1,FT_2
30093,LSX_HY_MB_HB,MB_P_MY_12
32523,MYdp,MB_P_MY_12
32571,FbTrt,FT_1
32585,LSX_HY_MB_HB,MB_P_MY_1
32592,Hbl_VS,VS_1
32613,L1_HPFmo_Mngs,MNG_1
32691,MYdp,MB_P_MY_7
32945,FbTrt,FT_3
33341,LSX_HY_MB_HB,FT_2
33363,Hbl_VS,MB_P_MY_19
33952,Hbl_VS,MB_P_MY_1
33985,Hbl_VS,MB_P_MY_17
34465,LSX_HY_MB_HB,MB_P_MY_19
34839,LSX_HY_MB_HB,MB_P_MY_16
36096,Hbl_VS,MB_P_MY_12
37728,Hbl_VS,FT_2
58850,LSX_HY_MB_HB,MB_P_MY_4
58892,LSX_HY_MB_HB,MB_P_MY_11
58982,LSX_HY_MB_HB,MB_P_MY_21_1
61796,LSX_HY_MB_HB,MB_P_MY_18
66827,Hbl_VS,MNG_1
99729,LSX_HY_MB_HB,MB_P_MY_9
100700,LSX_HY_MB_HB,HY_2
172043,Hbl_VS,VS_2
222123,LSX_HY_MB_HB,MB_P_MY_2
298787,LSX_HY_MB_HB,HY_11
299639,TH,MB_P_MY_3
334060,L1_HPFmo_Mngs,MB_P_MY_2
334076,TH,MNG_1
335128,TH,FT_2
335130,TH,VS_1
335179,TH,MB_P_MY_2
335212,L1_HPFmo_Mngs,CTX_A_1
377002,LSX_HY_MB_HB,MB_P_MY_8_1
377042,TH,MB_P_MY_8_1
377050,TH,TH_2_1
377156,TH,FT_3
425691,TH,MB_P_MY_7
561172,TH,TH_4_1
605236,LSX_HY_MB_HB,HY_3
643763,Hbl_VS,MB_P_MY_8_1
675054,LSX_HY_MB_HB,MB_P_MY_14
675258,LSX_HY_MB_HB,MB_P_MY_21_2
678404,Hbl_VS,FT_3
712275,TH,MB_P_MY_17
723065,LSX_HY_MB_HB,MB_P_MY_13
753328,LSX_HY_MB_HB,VS_1
754302,LSX_HY_MB_HB,MB_P_MY_20
815848,LSX_HY_MB_HB,MB_P_MY_15
820028,LSX_HY_MB_HB,CNU_11_2
866897,TH,MB_P_MY_6
869548,CTX_1,CTX_A_3_1
873436,LSX_HY_MB_HB,FT_1
890026,Hbl_VS,TH_7
890440,Hbl_VS,MB_P_MY_7
895238,Hbl_VS,MB_P_MY_6
907050,L1_HPFmo_Mngs,CTX_A_2
909107,CTX_1,CTX_A_5_5
909150,CTX_1,CTX_A_8_3
910976,CTX_2,CTX_B_8_3
910985,CTX_1,CTX_A_3_3
910996,CTX_1,CTX_A_3_2
911008,CTX_2,CTX_B_5_3
911053,CTX_1,CTX_A_9_2
911058,CTX_1,CTX_A_8_1
911075,CTX_1,CTX_A_5_4
911152,CTX_2,CTX_B_1_2
911188,CTX_1,CTX_A_7
911310,CTX_1,CTX_A_14
911409,CTX_1,CTX_A_9_1
911644,CTX_1,CTX_A_6
916092,CTX_2,CTX_B_2_1
972801,CTX_1,CTX_A_5_3
973302,CTX_1,CTX_A_16_4
973315,CTX_1,CTX_A_12
973348,CTX_1,CTX_A_13_3
973469,CTX_1,CTX_A_13_4
973814,ENTm,CTX_B_7
974863,CTX_2,CTX_B_5_2
975092,CTX_1,CTX_A_11
975230,CTX_1,CTX_A_16_1
981760,CTX_1,CTX_A_15
1014755,ENTm,CTX_B_6
1020722,CTX_1,CTX_A_13_2
1038214,CTX_1,CTX_A_16_3
1039205,CTX_2,CTX_B_9
1060317,Hbl_VS,VS_3
1112157,CTX_2,CTX_B_5_4
1138390,CTX_2,CTX_B_8_1
1198575,CTX_1,CTX_A_13_1
1207771,LSX_HY_MB_HB,TH_7
1249419,DG,CTX_HIP_3
1250921,HPF_CA,CTX_HIP_4
1250942,CTX_2,CTX_B_10
1251318,DG,CTX_HIP_1
1251325,HPF_CA,CTX_HIP_3
1251584,CTX_1,CTX_A_10
1251759,DG,CTX_HIP_2
1253515,CTX_2,CTX_B_11
1265898,CTX_1,CTX_A_16_2
1292140,CTX_1,CTX_A_5_1
1320089,CTX_2,CTX_B_3_2
1329661,CTX_1,CTX_A_4
1332238,CTX_1,CTX_A_5_2
1339251,TH,TH_5_2
1406236,HPF_CA,CTX_HIP_7
1406501,TH,TH_3
1428632,TH,TH_6
1430188,TH,TH_2_2
1497115,CTX_2,CTX_B_8_2
1497295,HY,HY_10
1497300,HPF_CA,CTX_HIP_5
1504970,HY,MNG_1
1506551,HY,HY_9
1522021,CTX_2,CTX_B_12
1607204,CTX_1,CTX_A_8_2
1666808,HPF_CA,CTX_HIP_6
1768039,OB_1,CNU_13_1
1768288,LSX_HY_MB_HB,HY_4
1768380,LSX_HY_MB_HB,HY_6
1769183,LSX_HY_MB_HB,CNU_10
1776032,LSX_HY_MB_HB,CNU_9_2
1776041,Hbl_VS,HY_1
1776221,HY,HY_8
1776622,OB_1,CNU_13_2
1793739,OB_1,OB_1
1971392,STR,CNU_2
1971552,LSX_HY_MB_HB,HY_5
1971629,STR,CNU_4
1971722,LSX_HY_MB_HB,CNU_9_1
1972009,LSX_HY_MB_HB,TH_1
1972111,Hbl_VS,TH_9
1976039,STR,CNU_5
1977122,LSX_HY_MB_HB,CNU_8_4
1977628,Hbl_VS,TH_8
1993423,TH,TH_4_2
1999812,STR,CNU_7
2051796,CTX_2,CTX_B_1_1
2061726,LSX_HY_MB_HB,CTX_A_1
2061807,LSX_HY_MB_HB,CNU_8_3
2068683,STR,CNU_1
2081172,STR,CNU_3
