cell_type,n_cells,percent
Telencephalon projecting excitatory neurons,1966386,56.285991203247576
Astrocytes,335753,9.610620907829889
Telencephalon inhibitory interneurons,304540,8.717177482466319
Pericytes,262567,7.515738950675558
Oligodendrocytes,182540,5.225039658663564
Microglia,135166,3.8690024679682224
Oligodendrocyte precursor cells,103776,2.9704925803520874
Vascular endothelial cells,90325,2.5854700732375724
Vascular smooth muscle cells,33837,0.9685530126558509
Vascular and leptomeningeal cells,13336,0.3817307378543733
Non-glutamatergic neuroblasts,9217,0.2638281501802458
Glutamatergic neuroblasts,7851,0.22472765618586416
Peptidergic neurons,6832,0.19555971813295428
Perivascular macrophages,6634,0.18989215018940553
Dentate gyrus granule neurons,5969,0.17085713664162824
Cholinergic and monoaminergic neurons,5839,0.1671360061736417
Di- and mesencephalon excitatory neurons,4498,0.12875111419233437
Telencephalon projecting inhibitory neurons,3917,0.11212052340848681
Hindbrain neurons/Spinal cord neurons,3683,0.10542248856611103
Olfactory inhibitory neurons,2592,0.07419361671554706
Cerebellum neurons,2207,0.06317334571420229
Choroid plexus epithelial cells,1924,0.055072730926200825
Di- and mesencephalon inhibitory neurons,1882,0.05387051954423595
Ependymal cells,1703,0.0487468091306237
Olfactory ensheathing cells,587,0.016802335266985387
Subcommissural organ hypendymal cells,1,2.8624080522973403e-05
