Symbol,n_cells,percent,Description
AC_3,276487,7.914186151555347,"Astrocytes, marker genes Mfge8_Cspg5_Gldc"
TEGLU_7,227535,6.5129801617947525,"Telencephalon projecting excitatory neurons, marker genes Nptx1_Hs3st4_Rprm"
TEGLU_9,218276,6.247949800232542,"Telencephalon projecting excitatory neurons, marker genes Rorb_Rgs4_Grm2"
TEGLU_8,178884,5.120390020271573,"Telencephalon projecting excitatory neurons, marker genes Cux2_Lamp5_Rgs4"
PER_2,123516,3.535531929875583,"Pericytes, marker genes Pltp_Pglyrp1_Notum"
OLG_1,122207,3.4980630084710107,"Oligodendrocytes, marker genes Opalin_Mal"
MGL_1,112495,3.220065938431893,"Microglia, marker genes Csf1r_Ctss_Tmem119"
TEGLU_19,107737,3.0838725633035855,"Telencephalon projecting excitatory neurons, marker genes Cux2_Nptx2_C1ql3"
OPC,103776,2.9704925803520874,"Oligodendrocyte precursor cells, marker genes Pdgfra_Cspg5_C1ql1"
TEGLU_15,95622,2.7370918277677623,"Telencephalon projecting excitatory neurons, marker genes Scube1_Pde1a_Hs3st2"
TEGLU_12,94471,2.70414551108582,"Telencephalon projecting excitatory neurons, marker genes Grfa2_Necab1_Plcxd2"
TEGLU_11,90264,2.583724004325671,"Telencephalon projecting excitatory neurons, marker genes Lmo3_Slc30a3_Rprm"
TEGLU_13,88313,2.52787842322535,"Telencephalon projecting excitatory neurons, marker genes Nxph3_Prss12_Hs3st4"
TEGLU_17,81707,2.3387877472905876,"Telencephalon projecting excitatory neurons, marker genes C1ql3_Col6a1_Rasl10a"
TEGLU_14,80178,2.2950215281709614,"Telencephalon projecting excitatory neurons, marker genes Parm1_Tox_Kcng1"
VEN_1,78465,2.245988478235108,"Vascular endothelial cells, marker genes Vtn_Rgs5_Abcc9"
TEGLU_16,78176,2.2377161189639687,"Telencephalon projecting excitatory neurons, marker genes Matn2_Cpne6_Lypd1"
PER_1,78144,2.2368001483872333,"Pericytes, marker genes Pltp_Pglyrp1"
TEGLU_10,75471,2.1602879811493256,"Telencephalon projecting excitatory neurons, marker genes Tshz2_Dkk3_Neurod6"
TEGLU_18,64090,1.8345173207173653,"Telencephalon projecting excitatory neurons, marker genes Hs3st2_Slc24a2_Rasl10a"
TEGLU_22,58099,1.6630304543042314,"Telencephalon projecting excitatory neurons, marker genes Tshz2_Nxph3_Lypd1"
TEGLU_25,58036,1.6612271372312841,"Telencephalon projecting excitatory neurons, marker genes Cux2_Grp_C1ql3"
TEINH_7,54001,1.5457289723210867,"Telencephalon inhibitory interneurons, marker genes Pvalb_Rbp4_Kcnc2"
OLG_2,53490,1.5311020671738471,"Oligodendrocytes, marker genes Klk6_Anln_Mal"
PER_3,52191,1.4939193865745046,"Pericytes, marker genes Pltp_Vwf"
TEGLU_26,46774,1.3388627423815578,"Telencephalon projecting excitatory neurons, marker genes Lmo3_Abi3bp_Ndst4"
TEGLU_30,46727,1.3375174105969783,"Telencephalon projecting excitatory neurons, marker genes Tshz2_Rxfp1_Dkk3"
TEGLU_2,46268,1.3243789576369334,"Telencephalon projecting excitatory neurons, marker genes Dcn_Cadm1_Prkcg"
TEGLU_28,44599,1.2766053672440907,"Telencephalon projecting excitatory neurons, marker genes Necab1_Cbln4_Cbln1"
TEGLU_3,43744,1.2521317783969483,"Telencephalon projecting excitatory neurons, marker genes Kcng1_C1ql3_Hpcal1"
AC_2,43224,1.2372472565250023,"Astrocytes, marker genes Mfge8_Cspg5"
TEGLU_23,38286,1.0959015469025597,"Telencephalon projecting excitatory neurons, marker genes Nr4a2_Synpr_Rgs12"
TEGLU_1,36878,1.055598841526213,"Telencephalon projecting excitatory neurons, marker genes Lypd1_Hpcal1_Dbpht2"
TEINH_19,35598,1.018960018456807,"Telencephalon inhibitory interneurons, marker genes Sst_Npas1_Lypd6"
VSM_1,33837,0.9685530126558509,"Vascular smooth muscle cells, marker genes Myh11_Vim_Tagln"
TEINH_26,28163,0.8061399797684998,"Telencephalon inhibitory interneurons, marker genes Sst_Pdyn_Sfrp2"
TEINH_5,22637,0.6479633107985489,"Telencephalon inhibitory interneurons, marker genes Pvalb_Syt2_Cox6a2"
TEINH_11,21266,0.6087196964015523,"Telencephalon inhibitory interneurons, marker genes Vip_Adarb2_Htr3a"
TEINH_23,18291,0.5235630568457065,"Telencephalon inhibitory interneurons, marker genes Pvalb_Syt2_Crhbp"
